GENE 13.5M EV BUS - SEATER/SLEEPER COACH (Sitting:24 ; Sleeping:24),,,,,,,,
WEIGHT DETAILS,,,,,,,,
Sl. No.,System,Component,Description ,Design Weight,Actual Weight,Tentitive Weight,Tentitive Weight,
,,Sealing ring,Bulk,,2550,,,
,,Insulated wire clip bracket,Qty - 1,,190,,,
,,Defroster,Qty - 1,,8630,,,
,,Steering column,Qty - 1,,10580,,,
,,Precautionary beam,Qty - 14 ,,4480,,,
,,PLC bracket,Qty - 1,,1030,,,
,,Battery frame layering,Qty - 1,,480,,,
,,MSD screw,Bulk,,320,,,
,,Steering angle sensor assembly,Qty - 1,,290,,,
,,Seteering cloumn decorative cover,Qty - 1,,520,,,
,,Tool box with tools,Qty - 1,,13230,,,
,,HVAC connector,Qty - 1set,,120,,,
,,Berth curtains,Qty - 48 pc,,24000,,,
,,Coolant hose,Bulk,,20670,,,
,,Battery coolant connector,Qty - 12,,220,,,
,,Buzzer,Qty - 1,,130,,,
,,USB ports,Qty - 26,,1070,,,
,,Reverse parking kit harness,Qty - 1,,1010,,,
,,Steering wheel,Qty - 1,,2630,,,
,,Headlamp high beam,Qty - 2,,1000,,,
,,Headlamp low beam,Qty - 2,,1400,,,
,,Fog lamp (Front),Qty - 2,,580,,,
,,Directional indicator,Qty - 2,,100,,,
,,Front wall harness,Qty - 1,,1800,,,
,,Dashboard harness,Qty - 1,,9060,,,
,,Battery HV cables,Qty - 4 pc,,4730,,,
,,Defroster duct,Qty - 1 roll,,1930,,,
,,Ceiling wire harness,Qty - 1,,15010,,,
,,Duct and roof harness,1 pc each,,2950,,,
,,All nut bolt and fasteners,Bulk,,34700,,,
,,Copper ball valve (Small),Qty - 2,,100,,,
,,Bracket,Qty - 2,,450,,,
,,Cable tie (ZIP),Bulk,,1380,,,
,,Compensated clamp,Bulk,,1615,,,
,,Non standard pipe clamp,Bulk,,4150,,,
,,Threaded transition joint,Qty - 4,,80,,,
,,Insulated wire clip,Qty - 3,,410,,,
,,Compartment door travel switch,Qty - 1,,40,,,
,,Tire and jack leaver,2 pc,,2230,,,
,,Service hatch,2nos,,1375,,,
,,Total,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
